Date,Transaction Description,Category,Amount,Type,Payment Method
2022-05-05,Retail shopping purchase - May 2022,Shopping,939.29,Expense,Credit Card
2022-05-06,Monthly utilities bill - May 2022,Utilities,605.67,Expense,Bank Transfer
2022-05-07,Movie and streaming subscription - May 2022,Entertainment,897.81,Expense,E-Wallet
2022-05-07,Payroll wage received - May 2022,Salary,4342.49,Income,Debit Card
2022-05-07,Personal shopping expense - May 2022,Shopping,280.56,Expense,Credit Card
2022-05-08,Investment dividend income - May 2022,Investment,1322.52,Income,Bank Transfer
2022-05-08,Monthly housing rent - May 2022,Rent,1095.05,Expense,Bank Transfer
2022-05-09,Residential rent payment - May 2022,Rent,1111.71,Expense,Bank Transfer
2022-05-09,Restaurant meal payment - May 2022,Food & Drink,291.47,Expense,Debit Card
2022-05-11,Cafe and coffee purchase - May 2022,Food & Drink,315.18,Expense,Debit Card
2022-05-13,Investment return received - May 2022,Investment,1557.36,Income,E-Wallet
2022-05-13,Supermarket grocery purchase - May 2022,Groceries,520.84,Expense,Debit Card
2022-05-14,Game and entertainment purchase - May 2022,Entertainment,429.66,Expense,E-Wallet
2022-05-19,Residential rent payment - May 2022,Rent,1220.27,Expense,Bank Transfer
2022-05-19,Movie and streaming subscription - May 2022,Entertainment,488.18,Expense,E-Wallet
2022-05-20,Retail shopping purchase - May 2022,Shopping,617.44,Expense,Credit Card
2022-05-20,Trip and accommodation expense - May 2022,Travel,1237.39,Expense,Credit Card
2022-05-22,Supermarket grocery purchase - May 2022,Groceries,680.06,Expense,Debit Card
2022-05-23,Payroll wage received - May 2022,Salary,4036.94,Income,E-Wallet
2022-05-24,Salary income received - May 2022,Salary,4064.71,Income,Debit Card
2022-05-24,Movie and streaming subscription - May 2022,Entertainment,678.76,Expense,E-Wallet
2022-05-25,Game and entertainment purchase - May 2022,Entertainment,708.02,Expense,E-Wallet
2022-05-27,Refund income received - May 2022,Other Income,1803.80,Income,E-Wallet
2022-05-28,Freelance project payment - May 2022,Freelance,2298.10,Income,Debit Card
2022-05-29,Game and entertainment purchase - May 2022,Entertainment,810.82,Expense,E-Wallet
2022-05-29,Daily transportation expense - May 2022,Transportation,460.17,Expense,Cash
2022-05-30,Monthly salary deposit - May 2022,Salary,4273.42,Income,E-Wallet
2022-05-30,Hospital or pharmacy expense - May 2022,Healthcare,1042.74,Expense,Debit Card
2022-05-31,Salary income received - May 2022,Salary,4328.98,Income,Bank Transfer
2022-06-01,Restaurant meal payment - June 2022,Food & Drink,185.13,Expense,Debit Card
2022-06-01,Monthly housing rent - June 2022,Rent,1070.27,Expense,Bank Transfer
2022-06-04,Lunch and dining expense - June 2022,Food & Drink,244.70,Expense,Debit Card
2022-06-04,Movie and streaming subscription - June 2022,Entertainment,269.13,Expense,E-Wallet
2022-06-06,Portfolio interest income - June 2022,Investment,1451.45,Income,Bank Transfer
2022-06-07,Lunch and dining expense - June 2022,Food & Drink,315.82,Expense,Debit Card
2022-06-07,Monthly salary deposit - June 2022,Salary,3786.94,Income,Debit Card
2022-06-11,Family allowance transfer - June 2022,Allowance,1157.66,Income,Bank Transfer
2022-06-11,Refund income received - June 2022,Other Income,1355.66,Income,Bank Transfer
2022-06-12,Restaurant meal payment - June 2022,Food & Drink,422.80,Expense,Debit Card
2022-06-12,Retail shopping purchase - June 2022,Shopping,588.97,Expense,Credit Card
2022-06-12,Residential rent payment - June 2022,Rent,1254.05,Expense,Bank Transfer
2022-06-13,Movie and streaming subscription - June 2022,Entertainment,547.49,Expense,E-Wallet
2022-06-17,Hospital or pharmacy expense - June 2022,Healthcare,684.22,Expense,Debit Card
2022-06-17,Daily transportation expense - June 2022,Transportation,332.76,Expense,Cash
2022-06-18,Movie and streaming subscription - June 2022,Entertainment,635.27,Expense,E-Wallet
2022-06-19,Monthly housing rent - June 2022,Rent,1345.95,Expense,Bank Transfer
2022-06-20,Lunch and dining expense - June 2022,Food & Drink,624.60,Expense,Debit Card
2022-06-21,Monthly salary deposit - June 2022,Salary,4148.80,Income,Debit Card
2022-06-21,Portfolio interest income - June 2022,Investment,2134.08,Income,Bank Transfer
2022-06-23,Personal shopping expense - June 2022,Shopping,896.59,Expense,Credit Card
2022-06-23,Apartment rent payment - June 2022,Rent,1429.28,Expense,Bank Transfer
2022-06-25,Game and entertainment purchase - June 2022,Entertainment,855.11,Expense,E-Wallet
2022-06-25,Salary income received - June 2022,Salary,4301.95,Income,Bank Transfer
2022-06-26,Hotel and flight booking - June 2022,Travel,2167.57,Expense,Credit Card
2022-06-26,Cafe and coffee purchase - June 2022,Food & Drink,185.77,Expense,Debit Card
2022-06-30,Lunch and dining expense - June 2022,Food & Drink,209.47,Expense,Debit Card
2022-07-01,Bus and taxi fare - July 2022,Transportation,125.73,Expense,Cash
2022-07-02,Game and entertainment purchase - July 2022,Entertainment,254.89,Expense,E-Wallet
2022-07-04,Daily transportation expense - July 2022,Transportation,157.58,Expense,Cash
2022-07-04,Apartment rent payment - July 2022,Rent,1145.95,Expense,Bank Transfer
2022-07-04,Cafe and coffee purchase - July 2022,Food & Drink,340.16,Expense,Debit Card
2022-07-05,Residential rent payment - July 2022,Rent,1179.28,Expense,Bank Transfer
2022-07-06,Bus and taxi fare - July 2022,Transportation,229.46,Expense,Cash
2022-07-13,Travel booking payment - July 2022,Travel,1433.63,Expense,Credit Card
2022-07-17,Netflix or Spotify payment - July 2022,Entertainment,474.73,Expense,E-Wallet
2022-07-17,Clothing and household shopping - July 2022,Shopping,603.99,Expense,Credit Card
2022-07-17,Weekly groceries payment - July 2022,Groceries,644.38,Expense,Debit Card
2022-07-18,Netflix or Spotify payment - July 2022,Entertainment,577.54,Expense,E-Wallet
2022-07-18,Investment dividend income - July 2022,Investment,1900.40,Income,Bank Transfer
2022-07-19,Internet utility payment - July 2022,Utilities,479.12,Expense,Bank Transfer
2022-07-20,Residential rent payment - July 2022,Rent,1337.84,Expense,Bank Transfer
2022-07-22,Monthly salary deposit - July 2022,Salary,4107.51,Income,Debit Card
2022-07-25,Internet utility payment - July 2022,Utilities,526.90,Expense,Bank Transfer
2022-07-27,Grocery and household staples - July 2022,Groceries,828.05,Expense,Debit Card
2022-07-27,Investment dividend income - July 2022,Investment,2177.83,Income,E-Wallet
2022-07-27,Cafe and coffee purchase - July 2022,Food & Drink,720.06,Expense,Debit Card
2022-07-27,Residential rent payment - July 2022,Rent,1446.40,Expense,Bank Transfer
2022-07-28,Movie and streaming subscription - July 2022,Entertainment,885.16,Expense,E-Wallet
2022-07-28,Family allowance transfer - July 2022,Allowance,1759.46,Income,E-Wallet
2022-07-29,Refund income received - July 2022,Other Income,2091.19,Income,Debit Card
2022-07-30,Apartment rent payment - July 2022,Rent,1071.17,Expense,Bank Transfer
2022-07-31,Travel booking payment - July 2022,Travel,1100.90,Expense,Credit Card
2022-08-02,Refund income received - August 2022,Other Income,1133.23,Income,E-Wallet
2022-08-02,Monthly salary deposit - August 2022,Salary,3718.62,Income,Debit Card
2022-08-03,Portfolio interest income - August 2022,Investment,1474.47,Income,Bank Transfer
2022-08-04,Personal shopping expense - August 2022,Shopping,443.46,Expense,Credit Card
2022-08-06,Supermarket grocery purchase - August 2022,Groceries,497.72,Expense,Debit Card
2022-08-07,Internet utility payment - August 2022,Utilities,359.89,Expense,Bank Transfer
2022-08-12,Netflix or Spotify payment - August 2022,Entertainment,446.27,Expense,E-Wallet
2022-08-13,Freelance project payment - August 2022,Freelance,1819.22,Income,Bank Transfer
2022-08-15,Payroll wage received - August 2022,Salary,3927.33,Income,E-Wallet
2022-08-15,Daily transportation expense - August 2022,Transportation,293.59,Expense,Cash
2022-08-16,Bus and taxi fare - August 2022,Transportation,309.52,Expense,Cash
2022-08-16,Game and entertainment purchase - August 2022,Entertainment,592.56,Expense,E-Wallet
2022-08-17,Lunch and dining expense - August 2022,Food & Drink,566.31,Expense,Debit Card
2022-08-18,Movie and streaming subscription - August 2022,Entertainment,666.11,Expense,E-Wallet
2022-08-19,Monthly housing rent - August 2022,Rent,1354.95,Expense,Bank Transfer
2022-08-21,Personal shopping expense - August 2022,Shopping,824.62,Expense,Credit Card
2022-08-21,Freelance project payment - August 2022,Freelance,2277.28,Income,E-Wallet
2022-08-22,Internet utility payment - August 2022,Utilities,559.18,Expense,Bank Transfer
2022-08-22,Residential rent payment - August 2022,Rent,1421.62,Expense,Bank Transfer
2022-08-23,Supermarket grocery purchase - August 2022,Groceries,902.04,Expense,Debit Card
2022-08-24,Retail shopping purchase - August 2022,Shopping,985.95,Expense,Credit Card
2022-08-26,Daily transportation expense - August 2022,Transportation,501.06,Expense,Cash
2022-08-26,Apartment rent payment - August 2022,Rent,1496.85,Expense,Bank Transfer
2022-08-28,Hospital or pharmacy expense - August 2022,Healthcare,245.55,Expense,Debit Card
2022-08-29,Personal shopping expense - August 2022,Shopping,312.19,Expense,Credit Card
2022-08-30,Clothing and household shopping - August 2022,Shopping,341.45,Expense,Credit Card
2022-08-31,Portfolio interest income - August 2022,Investment,1433.03,Income,Bank Transfer
2022-08-31,Netflix or Spotify payment - August 2022,Entertainment,314.99,Expense,E-Wallet
2022-09-01,Electricity and water bill - September 2022,Utilities,320.29,Expense,Bank Transfer
2022-09-02,Portfolio interest income - September 2022,Investment,1560.81,Income,Debit Card
2022-09-03,Residential rent payment - September 2022,Rent,1188.29,Expense,Bank Transfer
2022-09-03,Electricity and water bill - September 2022,Utilities,368.07,Expense,Bank Transfer
2022-09-03,Game and entertainment purchase - September 2022,Entertainment,461.29,Expense,E-Wallet
2022-09-04,Residential rent payment - September 2022,Rent,1246.85,Expense,Bank Transfer
2022-09-04,Supermarket grocery purchase - September 2022,Groceries,633.15,Expense,Debit Card
2022-09-05,Portfolio interest income - September 2022,Investment,1838.24,Income,Bank Transfer
2022-09-06,Residential rent payment - September 2022,Rent,1296.85,Expense,Bank Transfer
2022-09-07,Investment dividend income - September 2022,Investment,1923.42,Income,Debit Card
2022-09-08,Portfolio interest income - September 2022,Investment,1966.02,Income,Bank Transfer
2022-09-10,Salary income received - September 2022,Salary,4094.74,Income,Bank Transfer
2022-09-11,Electricity and water bill - September 2022,Utilities,527.76,Expense,Bank Transfer
2022-09-11,Retail shopping purchase - September 2022,Shopping,854.67,Expense,Credit Card
2022-09-12,Netflix or Spotify payment - September 2022,Entertainment,783.93,Expense,E-Wallet
2022-09-14,Restaurant meal payment - September 2022,Food & Drink,709.17,Expense,Debit Card
2022-09-15,Monthly housing rent - September 2022,Rent,1438.74,Expense,Bank Transfer
2022-09-15,Monthly utilities bill - September 2022,Utilities,607.39,Expense,Bank Transfer
2022-09-17,Investment dividend income - September 2022,Investment,2328.63,Income,Bank Transfer
2022-09-18,Payroll wage received - September 2022,Salary,4345.50,Income,Bank Transfer
2022-09-19,Personal shopping expense - September 2022,Shopping,283.72,Expense,Credit Card
2022-09-19,Supermarket grocery purchase - September 2022,Groceries,364.26,Expense,Debit Card
2022-09-21,Internet utility payment - September 2022,Utilities,264.76,Expense,Bank Transfer
2022-09-23,Trip and accommodation expense - September 2022,Travel,819.37,Expense,Credit Card
2022-09-26,Electricity and water bill - September 2022,Utilities,296.62,Expense,Bank Transfer
2022-09-26,Monthly housing rent - September 2022,Rent,1146.85,Expense,Bank Transfer
2022-09-28,Grocery and household staples - September 2022,Groceries,499.04,Expense,Debit Card
2022-09-29,Freelance project payment - September 2022,Freelance,1700.80,Income,Bank Transfer
2022-09-29,Portfolio interest income - September 2022,Investment,1647.15,Income,E-Wallet
2022-09-30,Monthly utilities bill - September 2022,Utilities,384.42,Expense,Bank Transfer
2022-10-01,Restaurant meal payment - October 2022,Food & Drink,448.43,Expense,Debit Card
2022-10-02,Payroll wage received - October 2022,Salary,3942.34,Income,Bank Transfer
2022-10-03,Salary income received - October 2022,Salary,3970.12,Income,E-Wallet
2022-10-04,Monthly salary deposit - October 2022,Salary,4012.16,Income,Debit Card
2022-10-04,Portfolio interest income - October 2022,Investment,1924.57,Income,Bank Transfer
2022-10-05,Trip and accommodation expense - October 2022,Travel,1398.35,Expense,Credit Card
2022-10-08,Monthly salary deposit - October 2022,Salary,4095.50,Income,E-Wallet
2022-10-10,Payroll wage received - October 2022,Salary,4123.27,Income,Debit Card
2022-10-12,Investment return received - October 2022,Investment,2094.94,Income,Bank Transfer
2022-10-12,Supermarket grocery purchase - October 2022,Groceries,829.37,Expense,Debit Card
2022-10-13,Payroll wage received - October 2022,Salary,4220.87,Income,E-Wallet
2022-10-19,Residential rent payment - October 2022,Rent,1439.19,Expense,Bank Transfer
2022-10-19,Movie and streaming subscription - October 2022,Entertainment,872.50,Expense,E-Wallet
2022-10-20,Payroll wage received - October 2022,Salary,4304.20,Income,Bank Transfer
2022-10-21,Residential rent payment - October 2022,Rent,1489.19,Expense,Bank Transfer
2022-10-22,Movie and streaming subscription - October 2022,Entertainment,169.49,Expense,E-Wallet
2022-10-23,Hospital or pharmacy expense - October 2022,Healthcare,263.16,Expense,Debit Card
2022-10-25,Grocery and household staples - October 2022,Groceries,389.37,Expense,Debit Card
2022-10-28,Investment dividend income - October 2022,Investment,1413.46,Income,E-Wallet
2022-10-30,Hospital or pharmacy expense - October 2022,Healthcare,377.68,Expense,Debit Card
2022-10-31,Monthly utilities bill - October 2022,Utilities,312.97,Expense,Bank Transfer
2022-11-03,Hotel and flight booking - November 2022,Travel,953.90,Expense,Credit Card
2022-11-04,Monthly housing rent - November 2022,Rent,1180.63,Expense,Bank Transfer
2022-11-05,Personal shopping expense - November 2022,Shopping,518.59,Expense,Credit Card
2022-11-07,Electricity and water bill - November 2022,Utilities,384.85,Expense,Bank Transfer
2022-11-07,Portfolio interest income - November 2022,Investment,1733.48,Income,Bank Transfer
2022-11-09,Personal shopping expense - November 2022,Shopping,621.39,Expense,Credit Card
2022-11-10,Hotel and flight booking - November 2022,Travel,1243.39,Expense,Credit Card
2022-11-13,Monthly housing rent - November 2022,Rent,1289.19,Expense,banktransfer
2022-11-14,Residential rent payment - November 2022,Rent,1305.86,Expense,Bank Transfer
2022-11-14,Supermarket grocery purchase - November 2022,Groceries,719.70,Expense,Debit Card
2022-11-15,Cafe and coffee purchase - November 2022,Food & Drink,603.46,Expense,Debit Card
2022-11-17,Residential rent payment - November 2022,Rent,1364.41,Expense,Bank Transfer
2022-11-17,Supermarket grocery purchase - November 2022,Groceries,805.59,Expense,Debit Card
2022-11-18,Retail shopping purchase - November 2022,Shopping,870.49,Expense,Credit Card
2022-11-19,Netflix or Spotify payment - November 2022,Entertainment,799.75,Expense,E-Wallet
2022-11-21,Hotel and flight booking - November 2022,Travel,1666.22,Expense,Credit Card
2022-11-22,Payroll wage received - November 2022,Salary,4262.91,Income,Bank Transfer
2022-11-26,Lunch and dining expense - November 2022,Food & Drink,781.56,Expense,Debit Card
2022-11-26,Monthly salary deposit - November 2022,Salary,4332.73,Income,Debit Card
2022-11-28,Internet utility payment - November 2022,Utilities,225.60,Expense,Bank Transfer
2022-11-28,Refund income received - November 2022,Other Income,1055.06,Income,Bank Transfer
2022-12-01,Electricity and water bill - December 2022,Utilities,257.45,Expense,Bank Transfer
2022-12-03,Travel booking payment - December 2022,Travel,1148.95,Expense,Credit Card
2022-12-04,Residential rent payment - December 2022,Rent,1122.52,Expense,Bank Transfer
2022-12-05,Electricity and water bill - December 2022,Utilities,313.40,Expense,Bank Transfer
2022-12-05,Game and entertainment purchase - December 2022,Entertainment,540.86,Expense,E-Wallet
2022-12-07,Investment return received - December 2022,Investment,1584.98,Income,Debit Card
2022-12-12,Apartment rent payment - December 2022,Rent,1197.75,Expense,Bank Transfer
2022-12-13,Payroll wage received - December 2022,Salary,3874.02,Income,Bank Transfer
2022-12-15,Residential rent payment - December 2022,Rent,1231.08,Expense,Bank Transfer
2022-12-16,Electricity and water bill - December 2022,Utilities,408.96,Expense,Bank Transfer
2022-12-18,Monthly housing rent - December 2022,Rent,1272.97,Expense,Bank Transfer
2022-12-22,Refund income received - December 2022,Other Income,1585.79,Income,Bank Transfer
2022-12-28,Electricity and water bill - December 2022,Utilities,464.91,Expense,Bank Transfer
2022-12-30,Internet utility payment - December 2022,Utilities,480.84,Expense,Bank Transfer
2022-12-31,Residential rent payment - December 2022,Rent,1339.64,Expense,Bank Transfer
2023-01-03,Investment dividend income - January 2023,Investment,2032.78,Income,Bank Transfer
2023-01-04,Game and entertainment purchase - January 2023,Entertainment,727.00,Expense,E-Wallet
2023-01-04,Refund income received - January 2023,Other Income,1851.15,Income,Debit Card
2023-01-06,Apartment rent payment - January 2023,Rent,1414.86,Expense,Bank Transfer
2023-01-09,Portfolio interest income - January 2023,Investment,2225.03,Income,Bank Transfer
2023-01-10,Personal shopping expense - January 2023,Shopping,959.06,Expense,Credit Card
2023-01-11,Freelance project payment - January 2023,Freelance,2498.50,Income,Debit Card
2023-01-13,Travel booking payment - January 2023,Travel,1800.75,Expense,Credit Card
2023-01-15,Trip and accommodation expense - January 2023,Travel,1845.20,Expense,Credit Card
2023-01-16,Movie and streaming subscription - January 2023,Entertainment,200.33,Expense,E-Wallet
2023-01-17,Cafe and coffee purchase - January 2023,Food & Drink,236.38,Expense,Debit Card
2023-01-18,Netflix or Spotify payment - January 2023,Entertainment,258.85,Expense,E-Wallet
2023-01-19,Freelance project payment - January 2023,Freelance,1510.81,Income,Bank Transfer
2023-01-19,Cafe and coffee purchase - January 2023,Food & Drink,307.49,Expense,Debit Card
2023-01-19,Monthly utilities bill - January 2023,Utilities,321.58,Expense,Bank Transfer
2023-01-19,Bus and taxi fare - January 2023,Transportation,207.51,Expense,Cash
2023-01-19,Payroll wage received - January 2023,Salary,3847.00,Income,Bank Transfer
2023-01-20,Lunch and dining expense - January 2023,Food & Drink,414.47,Expense,Debit Card
2023-01-21,Investment dividend income - January 2023,Investment,1713.91,Income,Debit Card
2023-01-21,Retail shopping purchase - January 2023,Shopping,607.95,Expense,Credit Card
2023-01-22,Personal shopping expense - January 2023,Shopping,637.21,Expense,Credit Card
2023-01-23,Electricity and water bill - January 2023,Utilities,441.24,Expense,Bank Transfer
2023-01-23,Game and entertainment purchase - January 2023,Entertainment,595.73,Expense,E-Wallet
2023-01-23,Refund income received - January 2023,Other Income,1668.37,Income,Bank Transfer
2023-01-24,Apartment rent payment - January 2023,Rent,1340.09,Expense,Bank Transfer
2023-01-24,Game and entertainment purchase - January 2023,Entertainment,698.53,Expense,E-Wallet
2023-01-24,Refund income received - January 2023,Other Income,1790.59,Income,Debit Card
2023-01-24,Restaurant meal payment - January 2023,Food & Drink,663.68,Expense,Debit Card
2023-01-24,Internet utility payment - January 2023,Utilities,560.90,Expense,Bank Transfer
2023-01-24,Lunch and dining expense - January 2023,Food & Drink,711.09,Expense,Debit Card
2023-01-25,Hotel and flight booking - January 2023,Travel,2913.06,Expense,Credit Card
2023-01-26,Family allowance transfer - January 2023,Allowance,1730.63,Income,Bank Transfer
2023-01-27,Lunch and dining expense - January 2023,Food & Drink,794.37,Expense,Debit Card
2023-01-27,Apartment rent payment - January 2023,Rent,1498.65,Expense,Bank Transfer
2023-01-28,Monthly housing rent - January 2023,Rent,1064.86,Expense,Bank Transfer
2023-01-29,Lunch and dining expense - January 2023,Food & Drink,224.84,Expense,Debit Card
2023-01-29,Supermarket grocery purchase - January 2023,Groceries,390.69,Expense,Debit Card
2023-01-30,Monthly housing rent - January 2023,Rent,1123.42,Expense,Bank Transfer
2023-01-31,Lunch and dining expense - January 2023,Food & Drink,308.13,Expense,Debit Card
2023-01-31,Investment dividend income - January 2023,Investment,1522.82,Income,Bank Transfer
2023-02-01,Internet utility payment - February 2023,Utilities,337.94,Expense,Bank Transfer
2023-02-02,Lunch and dining expense - February 2023,Food & Drink,379.24,Expense,Debit Card
2023-02-03,Clothing and household shopping - February 2023,Shopping,535.20,Expense,Credit Card
2023-02-06,Hospital or pharmacy expense - February 2023,Healthcare,559.14,Expense,Debit Card
2023-02-07,Refund income received - February 2023,Other Income,1485.59,Income,Bank Transfer
2023-02-07,Restaurant meal payment - February 2023,Food & Drink,486.23,Expense,Debit Card
2023-02-08,Cafe and coffee purchase - February 2023,Food & Drink,509.93,Expense,Debit Card
2023-02-08,Refund income received - February 2023,Other Income,1607.81,Income,Bank Transfer
2023-02-09,Hotel and flight booking - February 2023,Travel,1357.51,Expense,Credit Card
2023-02-12,Cafe and coffee purchase - February 2023,Food & Drink,581.04,Expense,Debit Card
2023-02-13,Trip and accommodation expense - February 2023,Travel,1446.40,Expense,Credit Card
2023-02-15,Supermarket grocery purchase - February 2023,Groceries,795.02,Expense,Debit Card
2023-02-16,Game and entertainment purchase - February 2023,Entertainment,757.84,Expense,E-Wallet
2023-02-18,Netflix or Spotify payment - February 2023,Entertainment,787.10,Expense,E-Wallet
2023-02-20,Restaurant meal payment - February 2023,Food & Drink,711.73,Expense,Debit Card
2023-02-20,Cafe and coffee purchase - February 2023,Food & Drink,735.44,Expense,Debit Card
2023-02-22,Refund income received - February 2023,Other Income,1995.40,Income,Bank Transfer
2023-02-22,Investment dividend income - February 2023,Investment,2333.23,Income,E-Wallet
2023-02-24,Cafe and coffee purchase - February 2023,Food & Drink,818.72,Expense,Debit Card
2023-02-26,Refund income received - February 2023,Other Income,1037.44,Income,Bank Transfer
2023-02-26,Investment dividend income - February 2023,Investment,1331.73,Income,Bank Transfer
2023-02-26,Hospital or pharmacy expense - February 2023,Healthcare,315.14,Expense,Debit Card
2023-02-28,Residential rent payment - February 2023,Rent,1115.32,Expense,Bank Transfer
2023-03-03,Bus and taxi fare - March 2023,Transportation,168.34,Expense,Cash
2023-03-03,Retail shopping purchase - March 2023,Shopping,433.18,Expense,Credit Card
2023-03-05,Refund income received - March 2023,Other Income,1302.80,Income,E-Wallet
2023-03-05,Clothing and household shopping - March 2023,Shopping,506.73,Expense,Credit Card
2023-03-05,Hospital or pharmacy expense - March 2023,Healthcare,527.43,Expense,Debit Card
2023-03-07,Netflix or Spotify payment - March 2023,Entertainment,465.25,Expense,E-Wallet
2023-03-08,Apartment rent payment - March 2023,Rent,1240.54,Expense,Bank Transfer
2023-03-08,Family allowance transfer - March 2023,Allowance,1314.41,Income,Debit Card
2023-03-08,Daily transportation expense - March 2023,Transportation,303.92,Expense,Cash
2023-03-08,Hotel and flight booking - March 2023,Travel,1314.26,Expense,Credit Card
2023-03-10,Monthly housing rent - March 2023,Rent,1315.77,Expense,Bank Transfer
2023-03-10,Lunch and dining expense - March 2023,Food & Drink,581.68,Expense,Debit Card
2023-03-12,Electricity and water bill - March 2023,Utilities,505.81,Expense,Bank Transfer
2023-03-13,Hospital or pharmacy expense - March 2023,Healthcare,837.50,Expense,Debit Card
2023-03-13,Refund income received - March 2023,Other Income,1812.61,Income,E-Wallet
2023-03-13,Electricity and water bill - March 2023,Utilities,553.58,Expense,Bank Transfer
2023-03-15,Payroll wage received - March 2023,Salary,4223.87,Income,Bank Transfer
2023-03-15,Residential rent payment - March 2023,Rent,1440.99,Expense,Bank Transfer
2023-03-16,Electricity and water bill - March 2023,Utilities,609.54,Expense,Bank Transfer
2023-03-16,Portfolio interest income - March 2023,Investment,2334.38,Income,Debit Card
2023-03-18,Refund income received - March 2023,Other Income,2077.98,Income,Bank Transfer
2023-03-18,Apartment rent payment - March 2023,Rent,1057.21,Expense,Bank Transfer
2023-03-21,Monthly housing rent - March 2023,Rent,1073.87,Expense,Bank Transfer
2023-03-22,Refund income received - March 2023,Other Income,1120.02,Income,
2023-03-23,Freelance project payment - March 2023,Freelance,1489.99,Income,Bank Transfer
2023-03-23,Family allowance transfer - March 2023,Allowance,1064.86,Income,Bank Transfer
2023-03-23,Refund income received - March 2023,Other Income,1242.24,Income,E-Wallet
2023-03-24,Clothing and household shopping - March 2023,Shopping,463.23,Expense,Credit Card
2023-03-27,Portfolio interest income - March 2023,Investment,1588.44,Income,Bank Transfer
2023-03-29,Salary income received - March 2023,Salary,3848.50,Income,Bank Transfer
2023-03-30,Investment dividend income - March 2023,Investment,1695.50,Income,E-Wallet
2023-03-31,Payroll wage received - March 2023,Salary,3918.32,Income,Debit Card
2023-03-31,Monthly utilities bill - March 2023,Utilities,418.43,Expense,Bank Transfer
2023-04-01,Movie and streaming subscription - April 2023,Entertainment,553.81,Expense,E-Wallet
2023-04-01,Cafe and coffee purchase - April 2023,Food & Drink,522.74,Expense,Debit Card
2023-04-04,Daily transportation expense - April 2023,Transportation,336.21,Expense,Cash
2023-04-07,Supermarket grocery purchase - April 2023,Groceries,722.34,Expense,Debit Card
2023-04-08,Weekly groceries payment - April 2023,Groceries,759.34,Expense,Debit Card
2023-04-09,Investment return received - April 2023,Investment,2058.11,Income,E-Wallet
2023-04-10,Hotel and flight booking - April 2023,Travel,1537.69,Expense,Credit Card
2023-04-10,Hospital or pharmacy expense - April 2023,Healthcare,1553.56,Expense,Debit Card
2023-04-13,Monthly utilities bill - April 2023,Utilities,569.94,Expense,Bank Transfer
2023-04-15,Hotel and flight booking - April 2023,Travel,1671.02,Expense,Credit Card
2023-04-16,Cafe and coffee purchase - April 2023,Food & Drink,748.25,Expense,Debit Card
2023-04-20,Grocery and household staples - April 2023,Groceries,943.00,Expense,Debit Card
2023-04-20,Electricity and water bill - April 2023,Utilities,641.82,Expense,Bank Transfer
2023-04-21,Hospital or pharmacy expense - April 2023,Healthcare,234.97,Expense,Debit Card
2023-04-22,Refund income received - April 2023,Other Income,1059.46,Income,Debit Card
2023-04-22,Movie and streaming subscription - April 2023,Entertainment,231.96,Expense,E-Wallet
2023-04-23,Payroll wage received - April 2023,Salary,3696.10,Income,Bank Transfer
2023-04-24,Investment return received - April 2023,Investment,1439.94,Income,E-Wallet
2023-04-25,Investment dividend income - April 2023,Investment,1504.40,Income,Debit Card
2023-05-02,Cafe and coffee purchase - May 2023,Food & Drink,345.29,Expense,Debit Card
2023-05-02,Monthly utilities bill - May 2023,Utilities,346.98,Expense,Bank Transfer
2023-05-03,Freelance project payment - May 2023,Freelance,1732.03,Income,E-Wallet
2023-05-05,Portfolio interest income - May 2023,Investment,1674.77,Income,Debit Card
2023-05-05,Daily transportation expense - May 2023,Transportation,264.75,Expense,Cash
2023-05-05,Clothing and household shopping - May 2023,Shopping,610.32,Expense,Credit Card
2023-05-07,Hospital or pharmacy expense - May 2023,Healthcare,659.56,Expense,Debit Card
2023-05-12,Refund income received - May 2023,Other Income,1590.19,Income,Debit Card
2023-05-14,Electricity and water bill - May 2023,Utilities,466.64,Expense,Bank Transfer
2023-05-14,Hospital or pharmacy expense - May 2023,Healthcare,757.34,Expense,Debit Card
2023-05-14,Monthly utilities bill - May 2023,Utilities,498.49,Expense,Bank Transfer
2023-05-15,Hotel and flight booking - May 2023,Travel,1471.62,Expense,Credit Card
2023-05-15,Retail shopping purchase - May 2023,Shopping,830.16,Expense,Credit Card
2023-05-16,Lunch and dining expense - May 2023,Food & Drink,677.78,Expense,Debit Card
2023-05-17,Movie and streaming subscription - May 2023,Entertainment,803.70,Expense,E-Wallet
2023-05-18,Family allowance transfer - May 2023,Allowance,1666.67,Income,Debit Card
2023-05-19,Residential rent payment - May 2023,Rent,1450.00,Expense,Bank Transfer
2023-05-20,Electricity and water bill - May 2023,Utilities,618.15,Expense,Bank Transfer
2023-05-20,Hospital or pharmacy expense - May 2023,Healthcare,1067.41,Expense,Debit Card
2023-05-20,Netflix or Spotify payment - May 2023,Entertainment,950.00,Expense,E-Wallet
2023-05-22,Apartment rent payment - May 2023,Rent,1074.77,Expense,Bank Transfer
2023-05-22,Family allowance transfer - May 2023,Allowance,982.88,Income,Bank Transfer
2023-05-22,Personal shopping expense - May 2023,Shopping,362.01,Expense,Credit Card
2023-05-25,Clothing and household shopping - May 2023,Shopping,391.27,Expense,Credit Card
2023-05-28,Game and entertainment purchase - May 2023,Entertainment,320.53,Expense,E-Wallet
